image,gt_boxes,pred_boxes,tp,fp,fn,mean_matched_iou
anthracnose_1095_jpg.rf.189f99029458d9c775048e5665701131.jpg,40,44,37,7,3,0.680187974321576
anthracnose_1105_jpg.rf.3113639707f9f8df3cc5594cd24e2185.jpg,46,43,38,5,8,0.6914925999878988
anthracnose_1247_jpg.rf.f5fac0f99323819b28c01dd53bfbfdaf.jpg,5,4,3,1,2,0.7657937849541976
anthracnose_1276_jpg.rf.9da761c2b870f4c7d67484c6b796915b.jpg,30,9,7,2,23,0.7059960904617061
anthracnose_1436_jpg.rf.22f6a81bb2281b8d6b5e57fe9db02c4f.jpg,3,2,1,1,2,0.8822919720453587
anthracnose_144_jpg.rf.5ec02221e58aaeb59d742c97d8bedbda.jpg,83,78,62,16,21,0.7400665159748839
anthracnose_262_jpg.rf.3588ef9994336a0a8371feb48f442719.jpg,38,2,2,0,36,0.7886630677301532
anthracnose_690_jpg.rf.10fccf70c2f505422858ba9d9f360c7e.jpg,6,1,1,0,5,0.6742257130925818
anthracnose_721_jpg.rf.40c038f052b2b84da8e7546324aaa8dd.jpg,1,3,1,2,0,0.6487925627870321
anthracnose_808_jpg.rf.2af973c86f0b89970d860d3e9eeb240f.jpg,33,35,30,5,3,0.7278139247069001
anthracnose_959_jpg.rf.844fb8c9d114b6a4d5927d00665dee56.jpg,24,27,16,11,8,0.7967293833147702
leaf_miner_1054_jpg.rf.8e62f3e159cdfa6158ebd78ebd1e83e5.jpg,13,9,9,0,4,0.8253974038263608
leaf_miner_105_jpg.rf.36fb42fb665ca9703fdd58e8d02e15ca.jpg,3,2,2,0,1,0.5943301163880425
leaf_miner_1162_jpg.rf.71a758d6f316a52cdd8fa8e217cf0b54.jpg,4,3,3,0,1,0.72041182008052
leaf_miner_1170_jpg.rf.1f63535ebfb511b6722abdddef1a9b70.jpg,9,10,7,3,2,0.845914554001891
leaf_miner_1188_jpg.rf.710d3c0901915760e50a78e60bf70c01.jpg,3,5,3,2,0,0.8721295131017713
leaf_miner_5_jpg.rf.68e5f3623f796cf27ff63af0322ccf1d.jpg,16,18,13,5,3,0.8289910359214384
leaf_miner_711_jpg.rf.a7dfa554282b1cb2ec0105f2f90094e5.jpg,3,3,3,0,0,0.7777016768246302
leaf_miner_852_jpg.rf.b119b6db809f2a0f5258996fb266e5fe.jpg,5,3,2,1,3,0.8890712935433287
leaf_miner_869_jpg.rf.30216637778af388336bcc47c5860782.jpg,7,9,5,4,2,0.7721645426856578
leaf_miner_892_jpg.rf.0d337daa981f754d7cc4073826c3789f.jpg,2,5,2,3,0,0.8151146142134338
leaf_miner_901_jpg.rf.0a0af8580c3c8347e26f25f262dfcbf0.jpg,12,11,7,4,5,0.7921366356423641
leaf_miner_957_jpg.rf.9824d9290950426ae60fed42846b522a.jpg,1,3,1,2,0,0.9414004747790914
real_leaf_miner_010_jpg.rf.90f2eea8f80a0eb8dc9b2d8e0e04d814.jpg,34,9,4,5,30,0.7641927484077059
real_leaf_miner_017_jpg.rf.0985cdde03a8ef117a73293837cc1711.jpg,4,3,3,0,1,0.7436986233031041
real_leaf_miner_026_jpg.rf.9d79591017357bac6c600c67351f1d2f.jpg,8,4,3,1,5,0.7470709580928864
real_leaf_miner_073_jpg.rf.fe4d14b6cb231f83113c9e4617ee71ca.jpg,4,3,2,1,2,0.6555645499152701
real_leaf_miner_075_jpg.rf.089720bcfb69617e803a9ab286bc9184.jpg,3,5,2,3,1,0.8770763897002314
real_leaf_miner_086_jpg.rf.3d71813b63b9aed4cfe487c412f9ccae.jpg,5,4,4,0,1,0.8011779155523739
red_rust_1199_jpg.rf.fcc0c0f5c35406e8bac1f1e1c43f80f5.jpg,107,77,53,24,54,0.6944787136585774
red_rust_141_jpg.rf.85bc79b5b5378d1d693d97338837ae05.jpg,29,62,17,45,12,0.7348797995366874
red_rust_194_jpg.rf.123b884df9f23bada3fd63af98fcf19c.jpg,94,101,55,46,39,0.7418841889169839
red_rust_479_jpg.rf.a2b87b01fd599b15ceb6ae3e11e3388c.jpg,134,106,89,17,45,0.7441468735107482
red_rust_491_jpg.rf.2fccbb5c16c918f1f62e2e39b39780ed.jpg,118,97,79,18,39,0.7706497789666196
red_rust_521_jpg.rf.a07fa04ee70cd2051f75150d550d9c8b.jpg,20,40,10,30,10,0.7835783325946167
red_rust_524_jpg.rf.c960184f40b17c180213eefeaa184cfe.jpg,49,33,23,10,26,0.7314581925453733
red_rust_682_jpg.rf.3309d63816919daaad75e591bd50a967.jpg,122,79,60,19,62,0.7816944751118842
red_rust_807_jpg.rf.4560b73e80d6d72dec5eb703ff9acf36.jpg,133,135,91,44,42,0.7313386900881768
red_rust_926_jpg.rf.6952712074d218888daa8a80b41a24db.jpg,84,127,75,52,9,0.7746690992202903
